,,,,,,,,,,,,
,"
DBN","
Zoned_Waitlist",,,,,,,,,,
,15K169,113,,,,,,,,,,
,15K094,111,,,,,,,,,,
,24Q307,109,,,,,,,,,,
,20K105,80,,,,,,,,,,
,24Q019,78,,,,,,,,,,
,28Q196,73,,,,,,,,,,
,24Q014,63,,,,,,,,,,
,28Q182,58,,,,,,,,,,
,24Q049,57,,,,,,,,,,
,02M041,55,,,,,,,,,,
,08X071,54,,,,,,,,,,
,25Q024,52,,,,,,,,,,
,20K160,50,,,,,,,,,,
,20K069,50,,,,,,,,,,
,20K200,46,,,,,,,,,,
,03M199,45,,,,,,,,,,
,22K119,43,,,,,,,,,,
,21K177,42,,,,,,,,,,
,24Q028,41,,,,,,,,,,
,30Q228,40,,,,,,,,,,
,12X196,37,,,,,,,,,,
,02M059,36,,,,,,,,,,
,02M290,36,,,,,,,,,,
,29Q131,35,,,,,,,,,,
,02M234,34,,,,,,,,,,
,21K101,33,,,,,,,,,,
,11X083,30,,,,,,,,,,
,03M165,29,,,,,,,,,,
,30Q011,27,,,,,,,,,,
,02M040,27,,,,,,,,,,
,03M087,27,,,,,,,,,,
,24Q153,27,,,,,,,,,,
,30Q280,27,,,,,,,,,,
,02M116,26,,,,,,,,,,
,11X194,26,,,,,,,,,,
,02M276,25,,,,,,,,,,
,20K163,24,,,,,,,,,,
,27Q232,24,,,,,,,,,,
,12X691,24,,,,,,,,,,
,30Q078,22,,,,,,,,,,
,31R039,21,,,,,,,,,,
,20K127,21,,,,,,,,,,
,02M089,19,,,,,,,,,,
,02M183,18,,,,,,,,,,
,02M111,18,,,,,,,,,,
,25Q165,17,,,,,,,,,,
,15K130,16,,,,,,,,,,
,24Q012,16,,,,,,,,,,
,30Q152,15,,,,,,,,,,
,30Q084,15,,,,,,,,,,
,24Q143,14,,,,,,,,,,
,24Q305,14,,,,,,,,,,
,12X531,14,,,,,,,,,,
,02M130,14,,,,,,,,,,
,06M278,14,,,,,,,,,,
,25Q120,13,,,,,,,,,,
,02M006,13,,,,,,,,,,
,28Q101,12,,,,,,,,,,
,22K206,11,,,,,,,,,,
,11X105,11,,,,,,,,,,
,15K107,11,,,,,,,,,,
,25Q193,10,,,,,,,,,,
,27Q253,10,,,,,,,,,,
,20K104,9,,,,,,,,,,
,21K099,9,,,,,,,,,,
,26Q205,9,,,,,,,,,,
,31R074,9,,,,,,,,,,
,15K032,8,,,,,,,,,,
,06M187,8,,,,,,,,,,
,25Q209,7,,,,,,,,,,
,02M343,7,,,,,,,,,,
,09X114,7,,,,,,,,,,
,10X037,7,,,,,,,,,,
,20K048,7,,,,,,,,,,
,26Q173,7,,,,,,,,,,
,31R069,7,,,,,,,,,,
,25Q021,6,,,,,,,,,,
,03M009,6,,,,,,,,,,
,22K152,6,,,,,,,,,,
,28Q117,6,,,,,,,,,,
,31R038,5,,,,,,,,,,
,20K971,5,,,,,,,,,,
,11X019,5,,,,,,,,,,
,12X536,5,,,,,,,,,,
,24Q007,4,,,,,,,,,,
,15K058,4,,,,,,,,,,
,10X081,4,,,,,,,,,,
,25Q163,4,,,,,,,,,,
,24Q016,4,,,,,,,,,,
,11X160,4,,,,,,,,,,
,13K270,4,,,,,,,,,,
,29Q295,4,,,,,,,,,,
,30Q092,4,,,,,,,,,,
,26Q041,3,,,,,,,,,,
,15K029,3,,,,,,,,,,
,14K059,3,,,,,,,,,,
,10X007,3,,,,,,,,,,
,15K024,3,,,,,,,,,,
,23K298,3,,,,,,,,,,
,02M158,2,,,,,,,,,,
,03M166,2,,,,,,,,,,
,10X024,2,,,,,,,,,,
,28Q144,2,,,,,,,,,,
,25Q129,2,,,,,,,,,,
,31R029,2,,,,,,,,,,
,31R026,2,,,,,,,,,,
,25Q029,2,,,,,,,,,,
,26Q026,1,,,,,,,,,,
,25Q020,1,,,,,,,,,,
,30Q069,1,,,,,,,,,,
,27Q114,1,,,,,,,,,,
,25Q164,1,,,,,,,,,,
,31R023,1,,,,,,,,,,
,26Q159,1,,,,,,,,,,
,22K254,1,,,,,,,,,,
,12X067,1,,,,,,,,,,
,20K264,1,,,,,,,,,,
,26Q178,1,,,,,,,,,,
,30Q149,1,,,,,,,,,,
,04M102,1,,,,,,,,,,
,10X059,1,,,,,,,,,,
,15K676,1,,,,,,,,,,
,17K316,1,,,,,,,,,,
,20K310,1,,,,,,,,,,
,27Q273,1,,,,,,,,,,